collection_name,month,day,year,count,time
Bored Ape Yacht Club,3,9,2022,631,3/9/2022
Bored Ape Yacht Club,3,10,2022,603,3/10/2022
Bored Ape Yacht Club,3,11,2022,673,3/11/2022
Bored Ape Yacht Club,3,12,2022,886,3/12/2022
Bored Ape Yacht Club,3,13,2022,1017,3/13/2022
Bored Ape Yacht Club,3,14,2022,739,3/14/2022
Bored Ape Yacht Club,3,15,2022,754,3/15/2022
Bored Ape Yacht Club,3,16,2022,947,3/16/2022
Bored Ape Yacht Club,3,17,2022,2712,3/17/2022
Bored Ape Yacht Club,3,18,2022,1372,3/18/2022
Bored Ape Yacht Club,3,19,2022,1053,3/19/2022
Bored Ape Yacht Club,3,20,2022,925,3/20/2022
Bored Ape Yacht Club,3,21,2022,1686,3/21/2022
Bored Ape Yacht Club,3,22,2022,713,3/22/2022
Bored Ape Yacht Club,3,23,2022,669,3/23/2022
Bored Ape Yacht Club,3,24,2022,825,3/24/2022
Bored Ape Yacht Club,3,25,2022,705,3/25/2022
Bored Ape Yacht Club,3,26,2022,605,3/26/2022
Bored Ape Yacht Club,3,27,2022,746,3/27/2022
Bored Ape Yacht Club,3,28,2022,1212,3/28/2022
Bored Ape Yacht Club,3,29,2022,967,3/29/2022
Bored Ape Yacht Club,3,30,2022,644,3/30/2022
Bored Ape Yacht Club,3,31,2022,757,3/31/2022
Bored Ape Yacht Club,4,1,2022,683,4/1/2022
Bored Ape Yacht Club,4,2,2022,578,4/2/2022
Bored Ape Yacht Club,4,3,2022,1179,4/3/2022
Bored Ape Yacht Club,4,4,2022,610,4/4/2022
Bored Ape Yacht Club,4,5,2022,576,4/5/2022
Bored Ape Yacht Club,4,6,2022,529,4/6/2022
Bored Ape Yacht Club,4,7,2022,623,4/7/2022
Bored Ape Yacht Club,4,8,2022,577,4/8/2022
Bored Ape Yacht Club,4,9,2022,544,4/9/2022
Bored Ape Yacht Club,4,10,2022,536,4/10/2022
Bored Ape Yacht Club,4,11,2022,571,4/11/2022
Bored Ape Yacht Club,4,12,2022,537,4/12/2022
Bored Ape Yacht Club,4,13,2022,677,4/13/2022
Bored Ape Yacht Club,4,14,2022,540,4/14/2022
Bored Ape Yacht Club,4,15,2022,481,4/15/2022
Bored Ape Yacht Club,4,16,2022,519,4/16/2022
Bored Ape Yacht Club,4,17,2022,496,4/17/2022
Bored Ape Yacht Club,4,18,2022,887,4/18/2022
Bored Ape Yacht Club,4,19,2022,772,4/19/2022
Bored Ape Yacht Club,4,20,2022,757,4/20/2022
Bored Ape Yacht Club,4,21,2022,641,4/21/2022
